type,parent_name,name,url,status
category,Rumah Tangga,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,grabbed
category,Rumah Tangga,Cover Kursi,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kursi,grabbed
category,Rumah Tangga,Hiasan Dinding,https://www.tokopedia.com/p/rumah-tangga/dekorasi/hiasan-dinding,grabbed
category,Rumah Tangga,Hiasan Natal,https://www.tokopedia.com/p/rumah-tangga/dekorasi/hiasan-natal,grabbed
category,Rumah Tangga,Jam Dinding,https://www.tokopedia.com/p/rumah-tangga/dekorasi/jam-dinding,grabbed
category,Rumah Tangga,Jam Meja,https://www.tokopedia.com/p/rumah-tangga/dekorasi/jam-meja,grabbed
category,Rumah Tangga,Keset,https://www.tokopedia.com/p/rumah-tangga/dekorasi/keset,grabbed
category,Rumah Tangga,Lampu Pohon Natal,https://www.tokopedia.com/p/rumah-tangga/dekorasi/lampu-pohon-natal,grabbed
category,Rumah Tangga,Lilin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/lilin,grabbed
category,Rumah Tangga,Lilin Aroma Terapi,https://www.tokopedia.com/p/rumah-tangga/dekorasi/lilin-aroma-terapi,grabbed
category,Rumah Tangga,Lukisan,https://www.tokopedia.com/p/rumah-tangga/dekorasi/lukisan,grabbed
category,Rumah Tangga,Patung,https://www.tokopedia.com/p/rumah-tangga/dekorasi/patung,grabbed
category,Rumah Tangga,Pohon Natal,https://www.tokopedia.com/p/rumah-tangga/dekorasi/pohon-natal,grabbed
category,Rumah Tangga,Reed Diffuser,https://www.tokopedia.com/p/rumah-tangga/dekorasi/reed-diffuser,grabbed
category,Rumah Tangga,Slinger,https://www.tokopedia.com/p/rumah-tangga/dekorasi/slinger,grabbed
category,Rumah Tangga,Stiker Kaca,https://www.tokopedia.com/p/rumah-tangga/dekorasi/stiker-kaca,grabbed
category,Rumah Tangga,Tanaman Artifical,https://www.tokopedia.com/p/rumah-tangga/dekorasi/tanaman-artificial,grabbed
category,Rumah Tangga,Taplak Meja,https://www.tokopedia.com/p/rumah-tangga/dekorasi/taplak-meja,grabbed
category,Rumah Tangga,Tempat Lilin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/tempat-lilin,grabbed
category,Rumah Tangga,Vas Bunga,https://www.tokopedia.com/p/rumah-tangga/dekorasi/vas-bunga,grabbed
category,Rumah Tangga,Wall Sticker,https://www.tokopedia.com/p/rumah-tangga/dekorasi/wall-sticker,grabbed
category,Rumah Tangga,Dekorasi,https://www.tokopedia.com/p/rumah-tangga/dekorasi,grabbed
category,Rumah Tangga,Bedside Table,https://www.tokopedia.com/p/rumah-tangga/furniture/bedside-table,grabbed
category,Rumah Tangga,Cermin Badan,https://www.tokopedia.com/p/rumah-tangga/furniture/cermin-badan,grabbed
category,Rumah Tangga,Kasur,https://www.tokopedia.com/p/rumah-tangga/furniture/kasur,grabbed
category,Rumah Tangga,Kursi,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi,grabbed
category,Rumah Tangga,Kursi Bar,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi-bar,grabbed
category,Rumah Tangga,Kursi Goyang,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi-goyang,grabbed
category,Rumah Tangga,Kursi Kantor,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi-kantor,grabbed
category,Rumah Tangga,Kursi Makan,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi-makan,grabbed
category,Rumah Tangga,Kursi Malas,https://www.tokopedia.com/p/rumah-tangga/furniture/kursi-malas,grabbed
category,Rumah Tangga,Lemari Pakaian,https://www.tokopedia.com/p/rumah-tangga/furniture/lemari-pakaian,grabbed
category,Rumah Tangga,Meja Bar,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-bar,grabbed
category,Rumah Tangga,Meja Kantor,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-kantor,grabbed
category,Rumah Tangga,Meja Makan,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-makan,grabbed
category,Rumah Tangga,Meja Rias,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-rias,grabbed
category,Rumah Tangga,Meja TV,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-tv,grabbed
category,Rumah Tangga,Meja Tamu,https://www.tokopedia.com/p/rumah-tangga/furniture/meja-tamu,grabbed
category,Rumah Tangga,Pengaman Furniture,https://www.tokopedia.com/p/rumah-tangga/furniture/pengaman-furniture,grabbed
category,Rumah Tangga,Rak,https://www.tokopedia.com/p/rumah-tangga/furniture/rak,grabbed
category,Rumah Tangga,Rangka Tempat Tidur,https://www.tokopedia.com/p/rumah-tangga/furniture/rangka-tempat-tidur,grabbed
category,Rumah Tangga,Sofa,https://www.tokopedia.com/p/rumah-tangga/furniture/sofa,grabbed
category,Rumah Tangga,Sofa Bed,https://www.tokopedia.com/p/rumah-tangga/furniture/sofa-bed,grabbed
category,Rumah Tangga,Furniture,https://www.tokopedia.com/p/rumah-tangga/furniture,grabbed
category,Rumah Tangga,Cermin Kamar Mandi,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/cermin-kamar-mandi,grabbed
category,Rumah Tangga,Dispenser Odol,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/dispenser-odol,grabbed
category,Rumah Tangga,Ember & Baskom,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/ember-baskom,grabbed
category,Rumah Tangga,Gantungan Handuk,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/gantungan-handuk,grabbed
category,Rumah Tangga,Gayung,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/gayung,grabbed
category,Rumah Tangga,Handuk Mandi,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/handuk-mandi,grabbed
category,Rumah Tangga,Keset Anti Slip,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/keset-anti-slip,grabbed
category,Rumah Tangga,Kimono Mandi,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/kimono-mandi,grabbed
category,Rumah Tangga,Rak Toilet,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/rak-toilet,grabbed
category,Rumah Tangga,Shower Curtain,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/shower-curtain,grabbed
category,Rumah Tangga,Tempat Sabun,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/tempat-sabun,grabbed
category,Rumah Tangga,Tempat Sikat Gigi,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/tempat-sikat-gigi,grabbed
category,Rumah Tangga,Toilet Cover,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/toilet-cover,grabbed
category,Rumah Tangga,Toilet Seat Anak,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/toilet-seat-anak,grabbed
category,Rumah Tangga,Tutup Wastafel,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi/tutup-wastafel,grabbed
category,Rumah Tangga,Kamar Mandi,https://www.tokopedia.com/p/rumah-tangga/kamar-mandi,grabbed
category,Rumah Tangga,Bantal Kepala,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/bantal-kepala,grabbed
category,Rumah Tangga,Guling,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/guling,grabbed
category,Rumah Tangga,Jepitan Sprei,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/jepitan-sprei,grabbed
category,Rumah Tangga,Kelambu,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/kelambu,grabbed
category,Rumah Tangga,Mattress Cover,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/mattress-cover,grabbed
category,Rumah Tangga,Sarung Bantal,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/sarung-bantal,grabbed
category,Rumah Tangga,Selimut,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/selimut,grabbed
category,Rumah Tangga,Sprei & Bed Cover,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur/sprei-bed-cover,grabbed
category,Rumah Tangga,Kamar Tidur,https://www.tokopedia.com/p/rumah-tangga/kamar-tidur,grabbed
category,Rumah Tangga,Alat Pel,https://www.tokopedia.com/p/rumah-tangga/kebersihan/alat-pel,grabbed
category,Rumah Tangga,Asbak,https://www.tokopedia.com/p/rumah-tangga/kebersihan/asbak,grabbed
category,Rumah Tangga,Ember & Baskom,https://www.tokopedia.com/p/rumah-tangga/kebersihan/ember-baskom,grabbed
category,Rumah Tangga,High Pressure Cleaner,https://www.tokopedia.com/p/rumah-tangga/kebersihan/high-pressure-cleaner,grabbed
category,Rumah Tangga,Kain Lap,https://www.tokopedia.com/p/rumah-tangga/kebersihan/kain-lap,grabbed
category,Rumah Tangga,Kantong Sampah,https://www.tokopedia.com/p/rumah-tangga/kebersihan/kantong-sampah,grabbed
category,Rumah Tangga,Kemoceng,https://www.tokopedia.com/p/rumah-tangga/kebersihan/kemoceng,
category,Rumah Tangga,Lainnya,https://www.tokopedia.com/p/rumah-tangga/kebersihan/lainnya,
category,Rumah Tangga,Pengki,https://www.tokopedia.com/p/rumah-tangga/kebersihan/pengki,
category,Rumah Tangga,Sapu,https://www.tokopedia.com/p/rumah-tangga/kebersihan/sapu,
category,Rumah Tangga,Sapu Lidi,https://www.tokopedia.com/p/rumah-tangga/kebersihan/sapu-lidi,
category,Rumah Tangga,Sarung Tangan Karet,https://www.tokopedia.com/p/rumah-tangga/kebersihan/sarung-tangan-karet,
category,Rumah Tangga,Selang Air,https://www.tokopedia.com/p/rumah-tangga/kebersihan/selang-air,
category,Rumah Tangga,Sikat,https://www.tokopedia.com/p/rumah-tangga/kebersihan/sikat,
category,Rumah Tangga,Tempat Sampah,https://www.tokopedia.com/p/rumah-tangga/kebersihan/tempat-sampah,
category,Rumah Tangga,Kebersihan,https://www.tokopedia.com/p/rumah-tangga/kebersihan,
category,Rumah Tangga,Baterai,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/baterai,
category,Rumah Tangga,Baterai Jam,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/baterai-jam,
category,Rumah Tangga,Humidifier,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/humidifier,
category,Rumah Tangga,Payung,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/payung,
category,Rumah Tangga,Pembatas Ruangan,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/pembatas-ruangan,
category,Rumah Tangga,Penahan Pintu,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/penahan-pintu,
category,Rumah Tangga,Termometer Ruangan,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah/termometer-ruangan,
category,Rumah Tangga,Kebutuhan Rumah,https://www.tokopedia.com/p/rumah-tangga/kebutuhan-rumah,
category,Rumah Tangga,Lain-Lain,https://www.tokopedia.com/p/rumah-tangga/lain-lain,
category,Rumah Tangga,Alat Pelipat Baju,https://www.tokopedia.com/p/rumah-tangga/laundry/alat-pelipat-baju,
category,Rumah Tangga,Bola Pencuci Baju,https://www.tokopedia.com/p/rumah-tangga/laundry/bola-pencuci-baju,
category,Rumah Tangga,Cover Mesin Cuci,https://www.tokopedia.com/p/rumah-tangga/laundry/cover-mesin-cuci,
category,Rumah Tangga,Gantungan Baju,https://www.tokopedia.com/p/rumah-tangga/laundry/gantungan-baju,
category,Rumah Tangga,Jaring Pakaian Mesin Cuci,https://www.tokopedia.com/p/rumah-tangga/laundry/jaring-pakaian-mesin-cuci,
category,Rumah Tangga,Jemuran Baju,https://www.tokopedia.com/p/rumah-tangga/laundry/jemuran-baju,
category,Rumah Tangga,Jepit Jemuran,https://www.tokopedia.com/p/rumah-tangga/laundry/jepit-jemuran,
category,Rumah Tangga,Lainnya,https://www.tokopedia.com/p/rumah-tangga/laundry/lainnya,
category,Rumah Tangga,Laundry Bag,https://www.tokopedia.com/p/rumah-tangga/laundry/laundry-bag,
category,Rumah Tangga,Meja Setrika,https://www.tokopedia.com/p/rumah-tangga/laundry/meja-setrika,
category,Rumah Tangga,Papan Cuci Baju,https://www.tokopedia.com/p/rumah-tangga/laundry/papan-cuci-baju,
category,Rumah Tangga,Roll Pembersih Pakaian,https://www.tokopedia.com/p/rumah-tangga/laundry/roll-pembersih-pakaian,
category,Rumah Tangga,Laundry,https://www.tokopedia.com/p/rumah-tangga/laundry,
category,Rumah Tangga,Bantal Sofa,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/bantal-sofa,
category,Rumah Tangga,Bean Bag,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/bean-bag,
category,Rumah Tangga,Cover Sofa,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/cover-sofa,
category,Rumah Tangga,Gorden,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/gorden,
category,Rumah Tangga,Karpet & Tikar,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/karpet-tikar,
category,Rumah Tangga,Sarung Bantal Sofa,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga/sarung-bantal-sofa,
category,Rumah Tangga,Ruang Tamu & Keluarga,https://www.tokopedia.com/p/rumah-tangga/ruang-tamu-keluarga,
category,Rumah Tangga,Air Sofa,https://www.tokopedia.com/p/rumah-tangga/taman/air-sofa,
category,Rumah Tangga,Ayunan,https://www.tokopedia.com/p/rumah-tangga/taman/ayunan,
category,Rumah Tangga,Benih Bibit Tanaman,https://www.tokopedia.com/p/rumah-tangga/taman/benih-bibit-tanaman,
category,Rumah Tangga,Garpu Taman,https://www.tokopedia.com/p/rumah-tangga/taman/garpu-taman,
category,Rumah Tangga,Hiasan Taman,https://www.tokopedia.com/p/rumah-tangga/taman/hiasan-taman,
category,Rumah Tangga,Irigasi,https://www.tokopedia.com/p/rumah-tangga/taman/irigasi,
category,Rumah Tangga,Kursi Pantai,https://www.tokopedia.com/p/rumah-tangga/taman/kursi-pantai,
category,Rumah Tangga,Media Tanam,https://www.tokopedia.com/p/rumah-tangga/taman/media-tanam,
category,Rumah Tangga,Pemotong Rumput,https://www.tokopedia.com/p/rumah-tangga/taman/pemotong-rumput,
category,Rumah Tangga,Penyiram Tanaman,https://www.tokopedia.com/p/rumah-tangga/taman/penyiram-tanaman,
category,Rumah Tangga,Pot Tanaman,https://www.tokopedia.com/p/rumah-tangga/taman/pot-tanaman,
category,Rumah Tangga,Pupuk,https://www.tokopedia.com/p/rumah-tangga/taman/pupuk,
category,Rumah Tangga,Sekop Taman,https://www.tokopedia.com/p/rumah-tangga/taman/sekop-taman,
category,Rumah Tangga,Taman,https://www.tokopedia.com/p/rumah-tangga/taman,
category,Rumah Tangga,Botol,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/botol,
category,Rumah Tangga,Brankas,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/brankas,
category,Rumah Tangga,Keranjang,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/keranjang,
category,Rumah Tangga,Kotak,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/kotak,
category,Rumah Tangga,Kotak Baterai,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/kotak-baterai,
category,Rumah Tangga,Kotak Jam,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/kotak-jam,
category,Rumah Tangga,Kotak Karton,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/kotak-karton,
category,Rumah Tangga,Kotak Surat,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/kotak-surat,
category,Rumah Tangga,Laci,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/laci,
